# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSSS imaging 
# DATE: 2014-09-09
# VERSION: 1.0 
# COLAPRV: CJW
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: REALNAME, string , Galaxy name 
# COLUMN3: DBName, string, , Name in CALIFA database 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
    126, NGC1324, NGC1324,      51.2570190,      -5.7458000, S, b, S, a, S, cd, A, A, A, I, I, I
    127, NGC1349, NGC1349,      52.8646317,       4.3808999, E, 6, E, 0, S, a, A, A, A, I, I, I
    128, NGC1361, NGC1361,      53.5739288,      -6.2649999, E, 5, E, 1, S, 0, A, A, A, I, I, I
    129, MCG-01-10-015, MCG-01-10-015,      54.6631813,      -5.3473501, S, c, S, b, S, d, AB, A, AB, I, I, I
    130, MCG-01-10-019, MCG-01-10-019,      55.1791000,      -6.4151602, S, bc, S, b, S, c, AB, A, AB, I, I, I
    131, NGC1542, NGC1542,      64.3090515,       4.7817302, S, ab, S, 0, S, c, AB, A, AB, I, I, I
    132, UGC03038, UGC03038,      66.2554703,       7.1709700, S, ab, S, a, S, c, A, A, AB, I, I, I
    133, UGC03107, UGC03107,      69.3410492,       9.5446501, S, b, S, a, S, cd, A, A, AB, I, I, I
    134, NGC1645, NGC1645,      71.0266571,      -5.4656701, S, 0a, S, 0, S, ab, B, B, B, I, I, I
    135, UGC03151, UGC03151,      71.3318329,      11.0679502, S, a, S, 0, S, bc, AB, A, B, I, I, I
    136, NGC1656, NGC1656,      71.4724274,      -5.1367202, E, 6, E, 4, S, 0, A, A, AB, I, I, I
    137, NGC1659, NGC1659,      71.6247711,      -4.7888498, S, bc, S, b, S, c, AB, A, B, I, I, I
    138, NGC1665, NGC1665,      72.0711823,      -5.4276099, S, 0, S, 0, S, 0, AB, A, B, I, I, I
    139, NGC1666, NGC1666,      72.1368484,      -6.5700498, S, 0a, S, 0, S, a, B, B, B, I, I, I
    140, NGC1667, NGC1667,      72.1549225,      -6.3199801, S, bc, S, ab, S, cd, B, B, B, I, I, I
    141, IC2095, IC2095,      72.1911697,      -5.1246300, S, c, S, ab, S, d, AB, A, AB, I, I, M
    142, IC2098, IC2098,      72.6844864,      -5.4183898, S, b, S, a, S, c, AB, A, AB, I, I, I
    143, NGC1677, NGC1677,      72.7170029,      -4.8926601, S, cd, S, 0, I, r, AB, A, AB, I, I, I
    144, IC2101, IC2101,      72.9256668,      -6.2315402, S, cd, S, c, S, d, AB, A, B, I, I, I
    145, ARP180, ARP180,      73.3525085,      -4.7926798, S, cd, E, 3, I, r, AB, A, B, M, M, M
